title,specs,price,image,link
"Panasonic LUMIX ZS99 Point and Shoot Camera, Compact Camera for Travel with 30x Zoom with 24-720mm Zoom Lens, and 4K Video/Photo, Great for Travel and Concerts, DC-ZS99 + Bag+ 32GB SD Card (Black)","Point and Shoot Camera, Compact Camera for Travel with","1,18,146",https://m.media-amazon.com/images/I/81EUxj0YlZL._AC_UY218_.jpg,https://www.amazon.in/Panasonic-Compact-24-720mm-Concerts-DC-ZS99/dp/B0DWWK4QM7/ref=sr_1_129?tag=nira6studio-21
"DJI Osmo Action 5 Pro Adventure Combo, Action Camera 4K with 1/1.3"" Sensor, 12h Extended Battery Life with 3 Batteries, Stabilization, Dual OLED Touchscreens, Mini Action Camera for Travel, Vlog","5 Pro Adventure Combo, Action Camera 4K with 1/1.3""","45,990",https://m.media-amazon.com/images/I/71FdBD3y0rL._AC_UY218_.jpg,https://www.amazon.in/DJI-Adventure-Batteries-Stabilization-Touchscreens/dp/B07FW4CZZL/ref=sr_1_130?tag=nira6studio-21
"FOMITO Dual Camera Chest Harness System, Professional Photography Vest with Side Holster, Gray","Chest Harness System, Professional Photography Vest with Side Holster,","9,453",https://m.media-amazon.com/images/I/8190EKeFcOL._AC_UY218_.jpg,https://www.amazon.in/FOMITO-Harness-Professional-Photography-Holster/dp/B0DZBH7X5P/ref=sr_1_131?tag=nira6studio-21
kicteck Video Camera Camcorder Digital YouTube Vlogging Camera Recorder kicteck Full HD 1080P 15FPS 24MP 3.0 Inch 270 Degree Rotation LCD 16X Digital Zoom Camcorder with 2 Batteries(604s) Black,Camcorder Digital YouTube Vlogging Camera Recorder kicteck Full HD,"7,999",https://m.media-amazon.com/images/I/71xHi2Ssz2L._AC_UY218_.jpg,https://www.amazon.in/kicteck-Camcorder-Vlogging-Recorder-Batteries/dp/B07MY3R7R9/ref=sr_1_132?tag=nira6studio-21
"DJI Osmo Mobile 7 Gimbal Stabilizer for iPhone, Android, Built-in Tripod, Ultra-Light, 3-Axis Phone Gimbal,Activetrack 7.0,One-Tap Edit,Phone Charging Vlogging Stabilizer YouTube Video, Gray","7 Gimbal Stabilizer for iPhone, Android, Built-in Tripod, Ultra-Light,","5,999",https://m.media-amazon.com/images/I/61KyU5QgXXL._AC_UY218_.jpg,https://www.amazon.in/DJI-Stabilizer-Ultra-Light-Activetrack-Charging/dp/B07FSS4R16/ref=sr_1_131?tag=nira6studio-21
HIGHERVISION 1080P Full HD WiFi Spy Bulb Holder Security Camera Hidden Socket Camera Mini Security Secret Nanny Cam with Live Audio & Video Recording,HD WiFi Spy Bulb Holder Security Camera Hidden Socket,"1,849",https://m.media-amazon.com/images/I/61ROycTd3UL._AC_UY218_.jpg,https://www.amazon.in/HIGHERVISION-Holder-Security-Camera-Recording/dp/B0GHP8K9C8/ref=sr_1_132?tag=nira6studio-21
ZEBRONICS Zeb IPPBSL5 5MP IP CCTV Bullte Camera with Night Vision (IPPBSL5),5MP IP CCTV Bullte Camera with Night Vision (IPPBSL5),"2,199",https://m.media-amazon.com/images/I/31ffFY+jnqL._AC_UY218_.jpg,https://www.amazon.in/ZEBRONICS-IPPBSL5-Bullte-Camera-Vision/dp/B0GL7WB4XY/ref=sr_1_133?tag=nira6studio-21
"LEQTRONIQ 4K UHD 64MP Digital Camera with 3 Inch 180° Rotation Flip Screen, 18X Digital Zoom, Autofocus, Self Timer; Compact Camera for Photography, Webcam, YouTube Vlogging (Black)",64MP Digital Camera with 3 Inch 180° Rotation Flip,"8,549",https://m.media-amazon.com/images/I/71vfvBc+YOL._AC_UY218_.jpg,https://www.amazon.in/LEQTRONIQ-Rotation-Autofocus-Photography-Vlogging/dp/B0D1VGDYVZ/ref=sr_1_134?tag=nira6studio-21
Fujifilm Instax Mini Evo Hybrid Camera Premium Edition with 20 Shots of Stone Gray Film and 100 Different Expressions-(Black),Evo Hybrid Camera Premium Edition with 20 Shots of,"22,414",https://m.media-amazon.com/images/I/61tSR9mjE+L._AC_UY218_.jpg,https://www.amazon.in/Fujifilm-Instax-Premium-Different-Expressions/dp/B0B2CTG2K4/ref=sr_1_135?tag=nira6studio-21
"KODAK Pixpro C1 Ultra-Compact Digital Camera | 13MP BSI CMOS, 4X Zoom, 2.8 LCD Screen, LED Flash, Built-in Battery Brown, 16 GB","Ultra-Compact Digital Camera | 13MP BSI CMOS, 4X Zoom,","16,250",https://m.media-amazon.com/images/I/81SgKLrGXkL._AC_UY218_.jpg,https://www.amazon.in/KODAK-Pixpro-C1-Ultra-Compact-Built/dp/B0DY89Z83G/ref=sr_1_136?tag=nira6studio-21
